rank,title,author,first_publish_year,readinglog_count,want_to_read_count,already_read_count,ratings_average,ratings_count,genre,date_fetched
61,On the stairs,"Julie Hofstrand Larios, Mary Hofstrand",1995,62,53,8,4.0,1,non-fiction,2026-04-25
62,The Age of Arthur,John Morris,1973,61,49,10,3.8888888,9,non-fiction,2026-04-25
63,الروض العاطر في نزهة الخاطر,ʻUmar ibn Muḥammad Nafzāwī,1886,60,54,3,3.3333333,3,non-fiction,2026-04-25
64,Sirah Nabawiyah,Dr.Muhammad Sa'id Ramadhan Al-Buthy,2012,58,41,14,5.0,2,non-fiction,2026-04-25
65,Death in the afternoon,Ernest Hemingway,1920,58,41,12,3.375,8,non-fiction,2026-04-25
66,"The History of Rasselas, Prince of Abyssinia",Samuel Johnson,1759,58,55,1,5.0,1,non-fiction,2026-04-25
67,The One Plus One,Jojo Moyes,2014,57,49,7,4.75,4,non-fiction,2026-04-25
68,The cocktail party,T. S. Eliot,1950,57,47,6,4.0,2,non-fiction,2026-04-25
69,The Secret in the Old Attic,Carolyn Keene,1944,56,43,12,4.0,4,non-fiction,2026-04-25
70,The Know,Martina Cole,2003,56,46,4,,0,non-fiction,2026-04-25
71,Riders of the Purple Sage,Zane Grey,1912,56,41,9,4.0,4,non-fiction,2026-04-25
72,Night Watch,Sarah Waters,2006,55,48,6,3.0,2,non-fiction,2026-04-25
73,A queer history of the United States,Michael Bronski,2011,55,51,1,4.0,1,non-fiction,2026-04-25
74,70 Motivasi Kehidupan,"Fuad Sam, Norazizah Abdul Rahman, Noor Ashikin Mohd Yusop",2014,54,40,9,4.0,7,non-fiction,2026-04-25
75,Rumpelstiltskin,"Gebrüder Grimm [Brothers Grimm], B. Watts, Jacob Grimm",1945,53,49,4,5.0,1,non-fiction,2026-04-25
76,Mike Mulligan and His Steam Shovel,Virginia Lee Burton,1939,52,39,12,4.3333335,6,non-fiction,2026-04-25
77,The portable Dorothy Parker,"Dorothy Parker, Brendan Gill",1973,49,38,6,3.6,5,non-fiction,2026-04-25
78,Where Did I Come From?,Peter Mayle,1975,49,46,2,5.0,1,non-fiction,2026-04-25
79,The Return of Tarzan,Edgar Rice Burroughs,1915,49,32,17,3.7777777,9,non-fiction,2026-04-25
80,Actual Size,Steve Jenkins,1900,47,43,3,,0,non-fiction,2026-04-25
81,Cat and a Dog,"Claire Masurel, Bob Kolar",2001,47,35,12,5.0,1,non-fiction,2026-04-25
82,"QUEEN OF SORCERY (Eddings, David. , the Belgariad, Bk. 2.)",David Eddings,1982,45,39,6,5.0,1,non-fiction,2026-04-25
83,Just one look,Harlan Coben,2001,44,31,12,5.0,1,non-fiction,2026-04-25
84,Salammbô,Gustave Flaubert,1863,44,36,6,3.75,4,non-fiction,2026-04-25
85,Mrs. Mike,"Benedict Freedman, Nancy Freedman",1947,43,32,8,5.0,2,non-fiction,2026-04-25
86,The Last Honest Woman,Nora Roberts,1988,43,29,12,3.25,4,non-fiction,2026-04-25
87,Rainbow Magic Books 1-7 Boxset,Daisy Meadows,2005,43,33,8,3.3333333,6,non-fiction,2026-04-25
88,The ship who searched,"Anne McCaffrey, Mercedes Lackey",1992,43,33,10,5.0,5,non-fiction,2026-04-25
89,Every sewer's guide to the perfect fit,"Mary Morris, Mary Morris, Sally McCann",1997,43,41,1,,0,non-fiction,2026-04-25
90,Java Concurrency in Practice,"Brian Goetz, Joshua Bloch, Joseph Bowbeer, Doug Lea, David Holmes, Tim Peierls",2006,42,30,10,4.25,8,non-fiction,2026-04-25
91,The Rogue Knight,Brandon Mull,2014,42,40,1,3.0,2,non-fiction,2026-04-25
92,Effi Briest,Theodor Fontane,1894,42,30,11,3.3333333,6,non-fiction,2026-04-25
93,Between Two Kingdoms,Suleika Jaouad,2020,40,37,3,3.6666667,3,non-fiction,2026-04-25
94,A rose for her grave,Ann Rule,1993,40,34,2,,0,non-fiction,2026-04-25
95,Finding Winnie,Lindsay Mattick,2015,40,28,10,4.75,4,non-fiction,2026-04-25
96,Dragons of Autumn Twilight,"Margaret Weis, Tracy Hickman",2006,39,34,5,5.0,2,non-fiction,2026-04-25
97,Leaving Time,Jodi Picoult,2014,39,30,9,3.4444444,9,non-fiction,2026-04-25
98,The Nix,Nathan Hill,2016,38,23,13,4.25,12,non-fiction,2026-04-25
99,A dark-adapted eye,"Ruth Rendell, Harriet Walter, Richard Bravery",1986,38,27,8,4.25,4,non-fiction,2026-04-25
100,The Bermuda Triangle,Charles Berlitz,1974,38,31,4,3.0,1,non-fiction,2026-04-25
101,The emperor's new clothes,"Hans Christian Andersen, Ève Tharlet, Jeffrey Stewart Timmins, Stephanie True Peters",1945,38,30,5,3.6666667,3,non-fiction,2026-04-25
102,A concise history of the Russian Revolution,Richard Pipes,1995,37,35,2,,0,non-fiction,2026-04-25
103,Alex rider,Anthony Horowitz,2005,36,35,0,,0,non-fiction,2026-04-25
104,Europe since 1870,James Joll,1973,36,29,5,1.0,2,non-fiction,2026-04-25
105,Good Talk,Mira Jacob,2019,35,29,5,4.0,5,non-fiction,2026-04-25
106,Frozen in time,"Owen Beattie, O. Beattie, J. Geiger, John Geiger",1987,35,29,3,3.0,2,non-fiction,2026-04-25
107,Trash,Andy Mulligan,2010,34,29,3,4.5,2,non-fiction,2026-04-25
108,Lawless,Nora Roberts,1989,33,23,10,3.3333333,3,non-fiction,2026-04-25
109,Memorias de Idhún,Laura Gallego,2004,33,26,6,4.0,4,non-fiction,2026-04-25
110,A Gathering of Days,Joan W. Blos,1979,33,25,6,3.6666667,3,non-fiction,2026-04-25
111,The Lost World,"Gail Herman, Gail Herman",1997,32,7,25,4.0,20,non-fiction,2026-04-25
112,Mao's last dancer,"Li, Cunxin",2003,32,23,6,3.3333333,3,non-fiction,2026-04-25
113,Doomsday Conspiracy,Sidney Sheldon,1991,32,20,5,4.3333335,3,non-fiction,2026-04-25
114,The View from the Cherry Tree,Willo Davis Roberts,1975,31,26,2,5.0,1,non-fiction,2026-04-25
115,"Nobody Is Ever Missing, A Novel",Catherine Lacey,2014,31,27,4,3.25,4,non-fiction,2026-04-25
116,How We Fight For Our Lives,Saeed Jones,2019,31,30,1,5.0,2,non-fiction,2026-04-25
117,Historia verdadera de la conquista de la Nueva España,Bernal Díaz del Castillo,1632,31,27,2,2.0,2,non-fiction,2026-04-25
118,"Ar-Rahiq Al-Makhtum, Sirah Nabawiyah",Syaikh Shafiyyurrahman Al-Mubarakfuri,2019,30,24,3,4.0,3,non-fiction,2026-04-25
119,Filsafat Hukum Islam,Subhi Mahmassani,2011,29,21,7,1.0,1,non-fiction,2026-04-25
120,Sky Color,Peter H. Reynolds,2012,28,24,4,4.0,1,non-fiction,2026-04-25
121,The sword of Shannara trilogy,Terry Brooks,1976,27,25,2,5.0,1,non-fiction,2026-04-25
122,A survey of mathematics with applications,"Allen R. Angel, Christine D. Abbott, Dennis Runde",1985,27,24,1,1.0,1,non-fiction,2026-04-25
123,How to Survive a Plague,David France,2016,27,25,2,5.0,2,non-fiction,2026-04-25
124,Andrew's Loose Tooth,Robert N Munsch,1998,27,19,6,4.3333335,3,non-fiction,2026-04-25
125,Los templarios,Piers Paul Read,1995,27,24,2,,0,non-fiction,2026-04-25
126,De vita Caesarum,Suetonius,1470,27,24,2,,0,non-fiction,2026-04-25
127,Hijab Butch Blues,Lamya H,2023,26,21,5,5.0,1,non-fiction,2026-04-25
128,Love for a Deaf Rebel,Derrick King,2021,26,19,3,4.6666665,3,non-fiction,2026-04-25
129,"The Beasts of Tarzan (Classic Ace SF, F-203)",Edgar Rice Burroughs,1914,26,16,9,4.0,5,non-fiction,2026-04-25
130,Lola the elf,"Diane De Groat, Diane deGroat",2002,26,20,4,2.0,1,non-fiction,2026-04-25
131,Evolution's Rainbow,Joan Roughgarden,2004,25,22,2,4.0,1,non-fiction,2026-04-25
132,O Christos xanastavronetai,Nikos Kazantzakis,1901,25,23,0,,0,non-fiction,2026-04-25
133,You Wouldn't Want to be a Medieval Knight,Fiona MacDonald,2004,24,19,5,5.0,1,non-fiction,2026-04-25
134,Fleshmarket Close,"Ian Rankin, Francisco Martín Arribas",2004,24,16,8,3.8,5,non-fiction,2026-04-25
135,Terrific trains,"Tony Mitton, Ant Parker",1998,23,15,7,2.0,1,non-fiction,2026-04-25
136,I Lost My Way:,Yasmin Mogahed,2021,22,20,0,,0,non-fiction,2026-04-25
137,Love Stories from the Qur’an,"Yahya Ibrahim, Yahya Ibrahim",2020,22,20,1,5.0,1,non-fiction,2026-04-25
